time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
0.0,-0.25,0.43203797596761323,0.0,0.2385882768271381,0.1311438546318372,0.9351753597160817,0.07,0.0,0.6,0.2,0.04,0.08,0.0
0.2,0.14,0.4079389534788391,0.06925068496369852,0.2454155400408071,0.17307055906875132,0.9420933928561317,0.22,0.0,0.69,0.04,0.02,0.02,0.0
0.4,0.13999999999999999,0.37339871147612896,0.0313340816751269,0.26526091985350725,0.16727286300428082,0.9445625812711035,0.24,0.0,0.67,0.04,0.03,0.03,0.0
0.6,0.3,0.39970238335551456,0.04249490484706003,0.2619568921615478,0.1710221712940758,0.941602951122084,0.43,0.0,0.43,0.07,0.02,0.04,0.0
0.8,0.94,0.5064647347452663,0.0822994810750499,0.22913935868186086,0.28331934107462065,0.9409543855152044,0.94,0.0,0.06,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.3694937493075805,0.16357500392563212,1.0,0.9639724003648856,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1.0,1.0,0.18384511766206246,0.11951864965855506,1.0,0.9576275094120279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1.0,1.0,0.12137506725495653,0.1380841385943271,0.8902126363069298,0.94013609826342,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1.0,0.8176140683527847,0.19855162447655342,0.10212963500261125,0.7172558765589938,0.9524107860523434,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1.0,0.7747209609713953,0.11893019091405106,0.09594850454518153,0.7521513002937995,0.9623266537670636,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.99,0.891046530255272,0.24010877612270645,0.010881724161506847,0.758601445797611,0.9542678698301538,0.99,0.0,0.01,0.0,0.0,0.0,0.0
2.2,1.0,0.880938763961666,0.3224036758505009,0.01818983035656319,0.7437210466078016,0.9535444872230415,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,1.0,0.8906430794167901,0.14435311115380464,0.012981876594919265,0.7123321592783848,0.9495202119187363,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,1.0,0.9395344866276857,0.051775968719232617,0.006690258320075163,0.7329829426956692,0.9453989853040992,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,1.0,0.9556989759596491,0.10395032460932128,0.006199692410755343,0.7561342765223352,0.9455311089428078,1.0,0.0,0.0,0.0,0.0,0.0,0.0
